127.0.0.1, 2014-03-04 23:05:27, POST, /admin/wizard/step2, HTTP/1.1, 303, 0.025432
127.0.0.1, 2014-03-04 23:05:27, GET, /admin/wizard/step3/0, HTTP/1.1, 200, 0.022376
127.0.0.1, 2014-03-04 23:05:29, POST, /admin/wizard/step3/0, HTTP/1.1, 303, 0.032789
127.0.0.1, 2014-03-04 23:05:29, GET, /admin/wizard/step4, HTTP/1.1, 200, 0.040759
127.0.0.1, 2014-03-04 23:05:31, POST, /admin/wizard/step4, HTTP/1.1, 303, 0.015267
127.0.0.1, 2014-03-04 23:05:31, GET, /admin/wizard/step5/0, HTTP/1.1, 200, 0.030340
127.0.0.1, 2014-03-04 23:05:33, POST, /admin/wizard/step5/0, HTTP/1.1, 303, 0.029040
127.0.0.1, 2014-03-04 23:05:33, GET, /admin/wizard/step5/1, HTTP/1.1, 200, 0.036593
127.0.0.1, 2014-03-04 23:05:35, POST, /admin/wizard/step5/1, HTTP/1.1, 303, 0.016150
127.0.0.1, 2014-03-04 23:05:35, GET, /admin/wizard/step6, HTTP/1.1, 200, 0.023838
127.0.0.1, 2014-03-04 23:05:41, POST, /admin/wizard/step6, HTTP/1.1, 303, 1.291199
127.0.0.1, 2014-03-04 23:05:41, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.026705
127.0.0.1, 2014-03-04 23:05:41, GET, /admin/static/images/button.png, HTTP/1.1, 404, 0.000543
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/default/index, HTTP/1.1, 200, 1.448237
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000395
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/js/jquery.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/css/calendar.css, HTTP/1.1, 200, 0.000361
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/js/calendar.js, HTTP/1.1, 200, 0.000377
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/js/web2py.js, HTTP/1.1, 200, 0.000315
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/css/skeleton.css, HTTP/1.1, 200, 0.000280
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/css/web2py.css, HTTP/1.1, 200, 0.000270
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/css/superfish.css, HTTP/1.1, 200, 0.000324
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/js/superfish.js, HTTP/1.1, 200, 0.000307
127.0.0.1, 2014-03-04 23:05:43, GET, /facil/static/images/poweredby.png, HTTP/1.1, 200, 0.000331
127.0.0.1, 2014-03-05 08:55:16, GET, /admin/wizard/generated, HTTP/1.1, 303, 0.019235
127.0.0.1, 2014-03-05 08:55:16, GET, /admin/default/index, HTTP/1.1, 200, 0.027160
127.0.0.1, 2014-03-05 08:55:20, POST, /admin/default/index, HTTP/1.1, 303, 0.025897
127.0.0.1, 2014-03-05 08:55:20, GET, /admin/wizard/generated, HTTP/1.1, 200, 0.020704
127.0.0.1, 2014-03-05 08:55:21, GET, /facil/default/index, HTTP/1.1, 200, 0.022022
127.0.0.1, 2014-03-05 08:55:21, GET, /admin/static/images/button.png, HTTP/1.1, 404, 0.002453
127.0.0.1, 2014-03-05 18:08:30, GET, /admin/default/logout, HTTP/1.1, 303, 0.062215
127.0.0.1, 2014-03-05 18:08:31, GET, /admin/default/index, HTTP/1.1, 200, 0.026066
127.0.0.1, 2014-03-05 18:08:34, POST, /admin/default/index, HTTP/1.1, 303, 0.022053
127.0.0.1, 2014-03-05 18:08:34, GET, /admin/default/logout, HTTP/1.1, 303, 0.039039
127.0.0.1, 2014-03-05 18:08:34, GET, /admin/default/index, HTTP/1.1, 200, 0.036004
127.0.0.1, 2014-03-05 18:08:37, POST, /admin/default/index, HTTP/1.1, 303, 0.036909
127.0.0.1, 2014-03-05 18:08:37, GET, /admin/default/site, HTTP/1.1, 200, 0.059251
127.0.0.1, 2014-03-05 18:08:39, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.568213
127.0.0.1, 2014-03-05 18:08:45, GET, /admin/default/design/facil, HTTP/1.1, 200, 0.205657
127.0.0.1, 2014-03-05 18:08:49, GET, /admin/default/edit/facil/models/db.py, HTTP/1.1, 200, 0.063476
127.0.0.1, 2014-03-05 18:09:00, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.051373
127.0.0.1, 2014-03-05 19:13:47, GET, /admin/default/site, HTTP/1.1, 303, 0.005078
127.0.0.1, 2014-03-05 19:13:47, GET, /admin/default/index, HTTP/1.1, 200, 0.035656
127.0.0.1, 2014-03-08 10:48:20, GET, /, HTTP/1.1, 303, 0.000928
